identifier,category,detailed
component-catalogue-opacity-0001,opaque,does not allow light to pass through; not able to be seen through; solid colour
component-catalogue-opacity-0002,translucent,"allows light, but not detailed shapes, to pass through; semi-transparent; tinted colour"
component-catalogue-opacity-0003,transparent,allows light to pass through so that objects behind can be distinctly seen; no colour/ clear
