identifier,category,detailed
material-component-catalogue-function-0001,adhesive,
material-component-catalogue-function-0002,barrier,
material-component-catalogue-function-0003,coating,
material-component-catalogue-function-0004,fire retardant,
material-component-catalogue-function-0005,preservation,
material-component-catalogue-function-0006,print,
material-component-catalogue-function-0007,structure,
