identifier,category,detailed
recyclability-source-0001,OPRL,OPRL is a not-for-profit company limited by guarantee any surpluses being reinvested in our activities to promote recycling of packaging.
recyclability-source-0002,Green Dot,Green Dot is a license symbol used on packaging in some European markets which shows that a fee has been paid to fund the recycling of that packaging when it becomes waste.
